Tiempo,A_D,Jugada,Jugador,Resultado,Finalista,EnPista1,EnPista2,EnPista3,EnPista4,EnPista5,EnPista6,EnPista7
13:44,D,LANZAMIENTO RIVAL EXTIZQ,34-CORRALES,FALLO RIVAL,true,34,21,2,36,14,55,7
13:41,D,1x1 DEFENSIVO,14-JORGE,GOL,false,34,21,2,36,14,55,7
12:57,A,LANZAMIENTO CONTRA,05-REINANTE,PARADA,true,34,21,2,36,14,55,7
12:48,D,PERDIDA RIVAL,34-CORRALES,,true,34,21,2,36,14,55,7
12:24,A,LANZAMIENTO CONTRA,07-SANTAMARINA,GOL,true,34,21,2,36,14,55,7
12:22,A,ASISTENCIA,34-CORRALES,,false,34,21,2,36,14,55,7
12:12,D,PERDIDA RIVAL,34-CORRALES,,true,34,21,2,36,14,55,7
12:09,A,LANZAMIENTO CONTRA,11-MARIO,GOL,true,34,21,2,36,14,55,7
12:07,A,ASISTENCIA,07-SANTAMARINA,,false,34,21,2,36,14,55,7
11:58,D,LANZAMIENTO RIVAL 6M,34-CORRALES,GOL RIVAL,true,34,21,2,36,14,55,7
11:56,D,1x1 DEFENSIVO,02-HOYO,FALLO,false,34,21,2,36,14,55,7
11:49,A,PERDIDA,25-ANDONI,,true,34,21,2,36,14,55,7
11:43,E,A PISTA,11-MARIO,,false,34,21,2,36,14,55,7
11:41,S,A BANQUILLO,21-LUCCA,,false,34,21,2,36,14,55,7
11:23,D,LANZAMIENTO RIVAL 6M,34-CORRALES,GOL RIVAL,true,34,21,2,36,14,55,7
11:21,D,1x1 DEFENSIVO,07-SANTAMARINA,FALLO,false,34,21,2,36,14,55,7
11:12,A,LANZAMIENTO 9M,14-JORGE,FALLO,true,34,21,2,36,14,55,7
10:53,E,A PISTA,25-ANDONI,,false,34,21,2,36,14,55,7
10:51,S,A BANQUILLO,11-MARIO,,false,34,21,2,36,14,55,7
10:39,D,LANZAMIENTO RIVAL 6M,34-CORRALES,GOL RIVAL,true,34,21,2,36,14,55,7
10:34,E,A PISTA,34-CORRALES,,false,34,21,2,36,14,55,7
10:26,A,LANZAMIENTO 6M,02-HOYO,GOL,true,34,21,2,36,14,55,7
10:24,A,ASISTENCIA,14-JORGE,,false,34,21,2,36,14,55,7
09:56,S,A BANQUILLO,34-CORRALES,,false,34,21,2,36,14,55,7
09:56,E,A PISTA,11-MARIO,,false,34,21,2,36,14,55,7
09:48,D,LANZAMIENTO RIVAL EXTDER,34-CORRALES,GOL RIVAL,true,34,21,2,36,14,55,7
09:42,S,A BANQUILLO,11-MARIO,,false,34,21,2,36,14,55,7
09:42,E,A PISTA,34-CORRALES,,false,34,21,2,36,14,55,7
09:33,A,LANZAMIENTO 6M,14-JORGE,FALLO,true,34,21,2,36,14,55,7
09:07,S,A BANQUILLO,34-CORRALES,,false,34,21,2,36,14,55,7
09:07,E,A PISTA,21-LUCCA,,false,34,21,2,36,14,55,7
08:58,D,LANZAMIENTO RIVAL 7M,34-CORRALES,PARADA,true,34,21,2,36,14,55,7
08:50,D,7M,07-SANTAMARINA,,false,34,21,2,36,14,55,7
08:45,D,1x1 DEFENSIVO,07-SANTAMARINA,GOL,false,34,21,2,36,14,55,7
08:28,S,A BANQUILLO,25-ANDONI,,false,34,21,2,36,14,55,7
08:28,D,2 MIN,25-ANDONI,,false,34,21,2,36,14,55,7
08:21,A,LANZAMIENTO 6M,14-JORGE,GOL,true,34,21,2,36,14,55,7
07:54,D,LANZAMIENTO RIVAL 6M,34-CORRALES,GOL RIVAL,true,34,21,2,36,14,55,7
07:51,D,AYUDA,11-MARIO,GOL,false,34,21,2,36,14,55,7
07:12,D,BLOC,02-HOYO,,false,34,21,2,36,14,55,7
07:04,A,LANZAMIENTO EXTREMO,11-MARIO,PARADA,true,34,21,2,36,14,55,7
06:35,D,LANZAMIENTO RIVAL 9M,34-CORRALES,GOL RIVAL,true,34,21,2,36,14,55,7
06:18,D,AYUDA,07-SANTAMARINA,GOL,false,34,21,2,36,14,55,7
05:55,D,1x1 DEFENSIVO,25-ANDONI,GOL,false,34,21,2,36,14,55,7
05:48,A,LANZAMIENTO 6M,05-REINANTE,GOL,true,34,21,2,36,14,55,7
05:46,A,ASISTENCIA,07-SANTAMARINA,,false,34,21,2,36,14,55,7
05:15,D,PERDIDA RIVAL,34-CORRALES,,true,34,21,2,36,14,55,7
05:13,A,PERDIDA,34-CORRALES,,true,34,21,2,36,14,55,7
04:53,D,PERDIDA RIVAL,34-CORRALES,,true,34,21,2,36,14,55,7
04:46,A,LANZAMIENTO 6M,02-HOYO,GOL,true,34,21,2,36,14,55,7
04:44,A,ASISTENCIA,25-ANDONI,,false,34,21,2,36,14,55,7
